id,plant,disease,symptoms,cause,treatment,prevention,affected_part,severity,favorable_conditions
748,Grape,Downy Mildew,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Stem,High,High humidity
749,Rice,Tungro,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Leaf,Low,Cool and wet
750,Cucumber,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Leaf,Severe,High humidity
751,Maize,Common Rust,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Root,Low,Cool and wet
752,Bell Pepper,Phytophthora Blight,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf,High,Poor airflow
753,Potato,Viral Leaf Curl,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Root,Severe,Excess moisture
754,Watermelon,Downy Mildew,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Leaf and Fruit,Low,Warm and humid
755,Rice,Brown Spot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf and Fruit,Severe,Cool and wet
756,Wheat,Stem Rust,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf,Moderate,Poor airflow
757,Maize,Ear Rot,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Root,Severe,Excess moisture
758,Orange,Citrus Black Spot,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Stem,High,Poor airflow
759,Mango,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Leaf and Fruit,Severe,Excess moisture
760,Guava,Mucor Rot,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Fruit,Moderate,Cool and wet
761,Maize,Gray Leaf Spot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Fruit,High,Cool and wet
762,Watermelon,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Leaf,High,High humidity
763,Rice,Brown Spot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf and Fruit,Severe,High humidity
764,Chilli,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Leaf,Low,Poor airflow
765,Mango,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Fruit,Low,High humidity
766,Peach,Bacterial Spot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Fruit,High,Warm and humid
767,Guava,Wilt,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Stem,Low,Poor airflow
768,Grape,Botrytis Bunch Rot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf and Fruit,Moderate,Poor airflow
769,Orange,Sooty Mold,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf,High,Poor airflow
770,Pomegranate,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Leaf and Fruit,High,Warm and humid
771,Tomato,Bacterial Spot,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Fruit,Severe,High humidity
772,Wheat,Septoria Leaf Blotch,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Fruit,Moderate,High humidity
773,Bell Pepper,Phytophthora Blight,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Fruit,Low,Cool and wet
774,Watermelon,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Leaf,Severe,Poor airflow
775,Lemon,Root Rot,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Fruit,Moderate,Excess moisture
776,Lemon,Citrus Canker,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Fruit,Severe,Warm and humid
777,Mango,Bacterial Black Spot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf and Fruit,Low,High humidity
778,Cucumber,Fusarium Wilt,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf,High,High humidity
779,Watermelon,Downy Mildew,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf and Fruit,Low,Cool and wet
780,Chilli,Damping Off,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf,Severe,High humidity
781,Orange,Greasy Spot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Stem,High,High humidity
782,Guava,Wilt,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf and Fruit,Severe,Warm and humid
783,Grape,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Fruit,Severe,Excess moisture
784,Maize,Common Rust,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Root,High,Warm and humid
785,Pomegranate,Leaf Spot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf,High,Excess moisture
786,Banana,Bunchy Top,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Root,Severe,Warm and humid
787,Guava,Wilt,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Leaf,Low,Cool and wet
788,Rice,Tungro,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Fruit,Low,Cool and wet
789,Chilli,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Leaf and Fruit,Moderate,Poor airflow
790,Apple,Black Rot,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Stem,Severe,Warm and humid
791,Apple,Apple Scab,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Stem,Moderate,Excess moisture
792,Apple,Fire Blight,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Root,High,Poor airflow
793,Bell Pepper,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Stem,Severe,Warm and humid
794,Pomegranate,Bacterial Blight,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf and Fruit,Low,Warm and humid
795,Wheat,Leaf Rust,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Stem,Low,Excess moisture
796,Grape,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Leaf and Fruit,High,Warm and humid
797,Guava,Algal Leaf Spot,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Leaf,Severe,Poor airflow
798,Peach,Crown Gall,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Root,Moderate,Excess moisture
799,Guava,Wilt,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Leaf,High,Excess moisture
800,Rice,Bacterial Leaf Blight,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf,Low,Excess moisture
801,Maize,Downy Mildew,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Stem,Low,Cool and wet
802,Banana,Black Sigatoka,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Fruit,Moderate,Cool and wet
803,Orange,Sooty Mold,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Leaf,Moderate,Cool and wet
804,Wheat,Leaf Rust,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf and Fruit,Severe,Warm and humid
805,Guava,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Leaf,High,Cool and wet
806,Wheat,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Stem,High,Cool and wet
807,Orange,Citrus Canker,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Fruit,Low,High humidity
808,Cucumber,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Leaf and Fruit,High,High humidity
809,Wheat,Stem Rust,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Stem,High,Poor airflow
810,Peach,Leaf Curl,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Fruit,Moderate,Poor airflow
811,Lemon,Sooty Mold,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Root,High,Poor airflow
812,Bell Pepper,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Root,High,Excess moisture
813,Grape,Downy Mildew,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Stem,Low,Cool and wet
814,Rice,Bacterial Leaf Blight,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Leaf,Low,Warm and humid
815,Watermelon,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Leaf and Fruit,Severe,Cool and wet
816,Potato,Viral Leaf Curl,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Fruit,Severe,High humidity
817,Pomegranate,Fruit Rot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Fruit,High,Poor airflow
818,Watermelon,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Root,Low,High humidity
819,Watermelon,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Leaf and Fruit,Moderate,Cool and wet
820,Watermelon,Downy Mildew,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Fruit,Moderate,Excess moisture
821,Wheat,Stem Rust,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Stem,Severe,Warm and humid
822,Orange,Tristeza,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Stem,Low,High humidity
823,Orange,Citrus Canker,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf and Fruit,Moderate,High humidity
824,Pomegranate,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Leaf,Severe,Warm and humid
825,Papaya,Papaya Ringspot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Stem,High,Excess moisture
826,Rice,Tungro,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Root,Severe,High humidity
827,Wheat,Leaf Rust,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Root,High,Cool and wet
828,Watermelon,Fusarium Wilt,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Root,High,Poor airflow
829,Maize,Northern Leaf Blight,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Root,Moderate,Cool and wet
830,Orange,Citrus Canker,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Fruit,High,Cool and wet
831,Peach,Brown Rot,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Fruit,Low,Poor airflow
832,Papaya,Papaya Ringspot,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Root,Severe,Cool and wet
833,Wheat,Stem Rust,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf,Severe,Cool and wet
834,Potato,Late Blight,Water-soaked dark lesions spread quickly across leaves and stems.,A fungal-like pathogen spreads rapidly under cool and wet conditions.,Remove severely infected tissue and use a recommended fungicide.,Improve airflow and avoid prolonged leaf wetness.,Fruit,Moderate,Excess moisture
835,Potato,Viral Leaf Curl,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Fruit,Low,High humidity
836,Peach,Crown Gall,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Stem,Low,Warm and humid
837,Strawberry,Angular Leaf Spot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Root,Severe,Cool and wet
838,Orange,Tristeza,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf and Fruit,Moderate,Cool and wet
839,Maize,Ear Rot,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Stem,Moderate,Poor airflow
840,Maize,Ear Rot,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Root,Moderate,Poor airflow
841,Mango,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Fruit,Low,Excess moisture
842,Watermelon,Fusarium Wilt,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Fruit,Low,Poor airflow
843,Maize,Ear Rot,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf,Low,Poor airflow
844,Mango,Sooty Mold,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Root,Low,Excess moisture
845,Chilli,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Leaf and Fruit,Low,Poor airflow
846,Orange,Tristeza,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Leaf and Fruit,High,Excess moisture
847,Grape,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Stem,Moderate,Poor airflow
848,Orange,Citrus Canker,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Stem,Severe,Cool and wet
849,Tomato,Early Blight,Dark brown circular lesions with concentric rings appear on older leaves.,"Fungal infection favored by warm, humid conditions.",Remove affected leaves and apply an appropriate fungicide.,"Maintain plant spacing, avoid overhead irrigation, and remove crop debris.",Leaf and Fruit,Low,Warm and humid
850,Pomegranate,Fruit Rot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Root,High,High humidity
851,Grape,Downy Mildew,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Stem,High,Excess moisture
